시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
평택시,희곡1리,Manho-ri ,214000227,15034,노변정류장,경기도 평택시,경기도 평택시 포승읍,36.9655667000,126.8603667000
평택시,희곡1리,Huigok 1-ri ,214001979,48872,노변정류장,경기도 평택시,경기도 평택시 포승읍,36.9669500000,126.8614833000
평택시,희곡2.3리입구,Huigok 2 & 3-ri,214000965,48204,노변정류장,경기도 평택시,경기도 평택시 포승읍,36.9733667000,126.8729833000
평택시,희곡슈퍼,Huigok Supermarket,214000228,15041,노변정류장,경기도 평택시,경기도 평택시 포승읍,36.9685667000,126.8626000000
평택시,희곡슈퍼,Huigok Supermarket,214000222,15042,노변정류장,경기도 평택시,경기도 평택시 포승읍,36.9681333000,126.8623667000
포천시,1교다리양어장,1-gyo Bridge Fish Farm,236000877,41505,노변정류장,경기도 포천시,,38.0707000000,127.2968333000
포천시,1교다리양어장,1-gyo Bridge Fish Farm,236000098,41504,노변정류장,경기도 포천시,,38.0708500000,127.2970000000
포천시,2교다리.연대본부,"2-gyo Bridge, Regimental Headquarters",236000099,41511,노변정류장,경기도 포천시,,38.0711667000,127.3023833000
포천시,2교다리연대본부앞,"2-gyo Bridge, Regimental Headquarters",236000110,41510,노변정류장,경기도 포천시,,38.0710500000,127.3023833000
포천시,38고개,38 Gogae,236000669,40453,노변정류장,경기도 포천시,경기도 포천시 창수면,38.0002833000,127.1676000000
포천시,38교,38-gyo Bridge ,236000033,41524,노변정류장,경기도 포천시,경기도 포천시 이동면,38.0008667000,127.3108667000
포천시,38교,38-gyo Bridge ,236000018,41527,노변정류장,경기도 포천시,경기도 포천시 이동면,38.0009833000,127.3109000000
포천시,KT송우고객센터,KT Songu Customer Service,236000758,40145,노변정류장,경기도 포천시,경기도 포천시 소흘읍,37.8267167000,127.1522500000
포천시,K마트,K Mart,236000970,41076,노변정류장,경기도 포천시,경기도 포천시 가산면,37.8433833000,127.1810000000
포천시,ent입구,Ent Entrance ,236001023,40357,노변정류장,경기도 포천시,경기도 포천시 가산면,37.8290000000,127.2003667000
포천시,가사면행정복지센터,Gasan-myeon Office ,236001322,40731,노변정류장,경기도 포천시,경기도 포천시 가산면,37.8483333000,127.1866500000
포천시,가사면행정복지센터,Gasan-myeon Office ,236001321,40708,노변정류장,경기도 포천시,경기도 포천시 가산면,37.8482000000,127.1867000000
포천시,가산삼거리,Gasan Samgeori,236001097,41149,노변정류장,경기도 포천시,경기도 포천시 가산면,37.8482000000,127.1916167000
포천시,가산삼거리,Gasan Samgeori,236000457,41151,노변정류장,경기도 포천시,경기도 포천시 가산면,37.8480833000,127.1917167000
포천시,가산슈퍼,Gasan Supermarket,236001198,40720,노변정류장,경기도 포천시,경기도 포천시 가산면,37.8250667000,127.1803333000
포천시,가양삼거리,Gayang-ri,236000642,41179,노변정류장,경기도 포천시,경기도 포천시 창수면,37.9791500000,127.1996333000
포천시,가양삼거리,Gayang-ri,236000643,41182,노변정류장,경기도 포천시,경기도 포천시 창수면,37.9792000000,127.1995500000
포천시,가채1리오장동입구,Gachae 1-ri Ojang-dong,236000299,41247,노변정류장,경기도 포천시,,37.9109167000,127.2125500000
포천시,가채1리오장동입구,Gachae 1-ri Ojang-dong,236000304,41248,노변정류장,경기도 포천시,경기도 포천시 신북면,37.9112000000,127.2128333000
포천시,가채2리,Gachae 2-ri,236000324,40593,노변정류장,경기도 포천시,경기도 포천시 신북면,37.9205333000,127.2207000000
포천시,가채2리.K마트앞,"Gachae 2-ri, K Mart",236000323,41302,노변정류장,경기도 포천시,경기도 포천시 신북면,37.9204500000,127.2209167000
포천시,가채2리.k마트앞,"Gachae 2-ri, K Mart",236000980,41297,노변정류장,경기도 포천시,경기도 포천시 신북면,37.9203167000,127.2202000000
포천시,가채2리.승방동,"Gachae 2-ri, Seungbang-dong",236000300,41261,노변정류장,경기도 포천시,,37.9140000000,127.2138000000
포천시,가채2리.승방동,"Gachae 2-ri, Seungbang-dong",236000303,41262,노변정류장,경기도 포천시,,37.9144333000,127.2139333000
포천시,가채2리마을회관앞,Gachae 2-ri Community Center,236000302,41277,노변정류장,경기도 포천시,,37.9208500000,127.2157500000
포천시,가채2리마을회관앞,Gachae 2-ri Community Center,236000301,41274,노변정류장,경기도 포천시,,37.9203500000,127.2153833000
포천시,가채리야구장,Gachae-ri Baseball Stadium ,236001392,40762,노변정류장,경기도 포천시,경기도 포천시 신북면,37.9084333000,127.2112000000
포천시,가채리야구장,Gachae-ri Baseball Stadium ,236001393,40763,노변정류장,경기도 포천시,경기도 포천시 신북면,37.9084167000,127.2113167000
포천시,갈월1리.칠월리고개,"Garwol 1-ri, Chirwol-ri Gogae ",236000245,41034,노변정류장,경기도 포천시,경기도 포천시 신북면,37.9574833000,127.1584000000
포천시,갈월1리.칠월리고개,"Garwol 1-ri, Chilwol-ri Gogae ",236000275,41033,노변정류장,경기도 포천시,경기도 포천시 신북면,37.9572000000,127.1583000000
포천시,갈월2리.새마을,"Garwol 2-ri, Saemaeul ",236000276,41025,노변정류장,경기도 포천시,경기도 포천시 신북면,37.9547500000,127.1501500000
포천시,갈월2리.새마을,"Garwol 2-ri, Sae-Maeul ",236000244,41026,노변정류장,경기도 포천시,경기도 포천시 신북면,37.9548500000,127.1501667000
포천시,갈월중학교,Galwol Middle School,236000782,40147,노변정류장,경기도 포천시,경기도 포천시 소흘읍,37.8249333000,127.1537667000
포천시,갈월중학교,Galwol Middle School,236000781,40152,노변정류장,경기도 포천시,경기도 포천시 소흘읍,37.8245500000,127.1542000000
포천시,갈월중학교입구,Galwol Middle School,236000806,40135,노변정류장,경기도 포천시,경기도 포천시 소흘읍,37.8222667000,127.1504833000
포천시,감암1리입구,Gamam 1-ri ,236001196,41651,노변정류장,경기도 포천시,경기도 포천시 군내면,37.8696000000,127.1877000000
포천시,감암2리,Gamam 2-ri,236001369,40741,노변정류장,경기도 포천시,경기도 포천시 가산면,37.8550167000,127.1865000000
포천시,감암2리,Gamam 2-ri ,236001367,40739,노변정류장,경기도 포천시,경기도 포천시 가산면,37.8550833000,127.1866333000
포천시,거리장오거리,Georijang Ogeori,236000904,41054,노변정류장,경기도 포천시,경기도 포천시 가산면,37.8390167000,127.1738000000
포천시,거사2리,Geosa 2-ri,236000551,40597,노변정류장,경기도 포천시,,37.9965500000,127.2419000000
포천시,거사2리.마태사입구,"Geosa 2-ri, Mataesa",236000554,41386,노변정류장,경기도 포천시,,37.9964000000,127.2417333000
포천시,검암1리입구,Geomam 1-ri ,236001310,41717,노변정류장,경기도 포천시,경기도 포천시 가산면,37.8695333000,127.1876000000
포천시,경기섬유원자제센터,Gyeonggi Textile Marketing Center,236000718,41469,노변정류장,경기도 포천시,경기도 포천시 영북면,37.8830167000,127.2052333000
포천시,경기섬유원자제센터,Gyeonggi Textile Marketing Center,236000962,40760,노변정류장,경기도 포천시,경기도 포천시 영북면,37.8832000000,127.2050833000
포천시,경기할인마트,Gyeonggi Discount Mart,236001181,40672,노변정류장,경기도 포천시,경기도 포천시 소흘읍,37.8142833000,127.1609833000
포천시,경기할인마트,Gyeonggi Discount Mart,236001191,40671,노변정류장,경기도 포천시,경기도 포천시 소흘읍,37.8142667000,127.1611167000
